Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9625,0.9986083333333333,0.9624421066970479,0.9625,0.9622411660589001,0.9501504524000548
Decision Tree,0.8175,0.9003083333333334,0.8214124563120965,0.8175,0.8182357234081372,0.7574054973823475
kNN,0.635,0.8346250000000001,0.6510007171945296,0.635,0.641187058007429,0.5142211311718204
Naive Bayes,0.805,0.9453,0.8127503364301117,0.805,0.8075300933137284,0.7408215327173826
Random Forest,0.8825,0.9776583333333332,0.8844646638230897,0.8825,0.8826126420330564,0.8438609113225851
